Time_ps,Protein_RMSD
4000.0,1.2100972
4010.0,1.0614655
4020.0,1.2123508
4030.0,0.9793364
4040.0,1.0166595
4050.0,1.0119627
4060.0,0.9479667
4070.0,1.1696159
4080.0,1.2847544
4090.0,1.1901783
4100.0,1.2431043
4110.0,1.1840084
4120.0,1.1855395
4130.0,1.2026204
4140.0,1.1548532
4150.0,1.2610863
4160.0,1.2347294
4170.0,1.10697
4180.0,1.1027654
4190.0,0.907581
4200.0,0.9936184
4210.0,0.9137991
4220.0,0.9561229
4230.0,0.8637829
4240.0,0.8661938
4250.0,0.9249559
4260.0,0.8696318
4270.0,0.9209697
4280.0,0.91635585
4290.0,0.93842185
4300.0,0.88253975
4310.0,1.0805724
4320.0,1.0208699
4330.0,0.94996774
4340.0,1.0372956
4350.0,0.9175023
4360.0,0.8442482
4370.0,0.9637352
4380.0,1.1336205
4390.0,1.0309343
4400.0,1.1216373
4410.0,1.0379491
4420.0,0.88027
4430.0,0.9902855
4440.0,0.93755424
4450.0,0.99612355
4460.0,1.1041023
4470.0,1.3822705
4480.0,1.3621683
4490.0,1.4940975
4500.0,1.4340187
4510.0,1.1661317
4520.0,1.1576246
4530.0,1.1660154
4540.0,1.1513244
4550.0,1.0328238
4560.0,1.2164413
4570.0,1.026121
4580.0,0.97992474
4590.0,1.0102521
4600.0,0.9955447
4610.0,0.99741626
4620.0,1.0493369
4630.0,1.1405982
4640.0,1.0856284
4650.0,1.0814819
4660.0,0.99115825
4670.0,1.0394508
4680.0,1.026154
4690.0,0.9276647
4700.0,1.1044706
4710.0,1.0682005
4720.0,1.0169263
4730.0,1.1020579
4740.0,1.101581
4750.0,1.0925403
4760.0,1.1433152
4770.0,1.1414601
4780.0,1.0553143
4790.0,1.1204274
4800.0,1.1591468
4810.0,1.1022887
4820.0,1.0322819
4830.0,1.2788023
4840.0,1.2707427
4850.0,1.093998
4860.0,1.040429
4870.0,0.94375443
4880.0,1.1109145
4890.0,1.0042094
4900.0,1.036347
4910.0,1.033923
4920.0,1.1052839
4930.0,1.0530144
4940.0,1.1433597
4950.0,1.2011956
4960.0,1.0606346
4970.0,1.0470887
4980.0,1.1699493
4990.0,1.1874685
5000.0,1.2649256
